bottlecode,daterun,instrument,analyte,resulttype,runlabel,result,unit,labdupTF,labuser,recorduser,flag
0103-10,7/30/21,beckmanspec,abs220,sample,abs44407,0.30986,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs230,sample,abs44407,0.25638,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs240,sample,abs44407,0.22191,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs250,sample,abs44407,0.19784,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs254,sample,abs44407,0.19043,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs275,sample,abs44407,0.15154,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs280,sample,abs44407,0.14108,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs285,sample,abs44407,0.13061,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs290,sample,abs44407,0.12032,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs295,sample,abs44407,0.11102,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs412,sample,abs44407,0.0313,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs532,sample,abs44407,0.01955,absunits,FALSE,SP,SP,
0103-10,7/30/21,beckmanspec,abs555,sample,abs44407,0.01849,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs200,sample,abs44407,0.35215,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs202,sample,abs44407,0.27409,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs204,sample,abs44407,0.23259,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs206,sample,abs44407,0.20587,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs208,sample,abs44407,0.18497,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs210,sample,abs44407,0.16853,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs220,sample,abs44407,0.11151,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs230,sample,abs44407,0.08552,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs240,sample,abs44407,0.07362,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs250,sample,abs44407,0.06457,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs254,sample,abs44407,0.06116,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs275,sample,abs44407,0.04888,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs280,sample,abs44407,0.04678,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs285,sample,abs44407,0.04362,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs290,sample,abs44407,0.0411,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs295,sample,abs44407,0.03823,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs412,sample,abs44407,0.01609,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs532,sample,abs44407,0.0111,absunits,FALSE,SP,SP,
0109-10,7/30/21,beckmanspec,abs555,sample,abs44407,0.01053,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs200,sample,abs44407,0.35215,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs202,sample,abs44407,0.27616,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs204,sample,abs44407,0.2358,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs206,sample,abs44407,0.20972,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs208,sample,abs44407,0.19022,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs210,sample,abs44407,0.17437,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs220,sample,abs44407,0.12197,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs230,sample,abs44407,0.09757,absunits,FALSE,SP,SP,
