number,samplecode,daterun,instrument,analyte,resulttype,runlabel,result,unit,labdupTF,labuser,recorduser,flag,note,dateentered
110,0107-10,8/12/2021,shimadzu,doc,sample,10710,3.212,mgL-1,FALSE,JB,SP,,,2021
111,0108-10,8/12/2021,shimadzu,doc,sample,10810,6.157,mgL-1,FALSE,JB,SP,,,2021
112,0109-10,8/12/2021,shimadzu,doc,sample,10910,3.313,mgL-1,FALSE,JB,SP,,,2021
113,0110-10,8/12/2021,shimadzu,doc,sample,11010,3.045,mgL-1,FALSE,JB,SP,,,2021
114,0127-10,9/16/2021,shimadzu,doc,sample,0127-10,6.92,mgL-1,FALSE,JB,LM,,,2021
115,0124-10,9/16/2021,shimadzu,doc,sample,0124-10,7.067,mgL-1,FALSE,JB,LM,,,2021
116,0318-14,9/16/2021,shimadzu,doc,sample,0318-14,6.852,mgL-1,FALSE,JB,LM,,,2021
117,0126-10,9/16/2021,shimadzu,doc,sample,0126-10,5.088,mgL-1,FALSE,JB,LM,,,2021
118,0118-10,9/16/2021,shimadzu,doc,sample,0118-10,10.01,mgL-1,FALSE,JB,LM,,,2021
119,0117-10,9/16/2021,shimadzu,doc,sample,0117-10,8.739,mgL-1,FALSE,JB,LM,,,2021
120,0119-10,9/16/2021,shimadzu,doc,sample,0119-10,9.606,mgL-1,FALSE,JB,LM,,,2021
121,0113-10,9/16/2021,shimadzu,doc,sample,0113-10,5.316,mgL-1,FALSE,JB,LM,,,2021
122,0112-10,9/16/2021,shimadzu,doc,sample,0112-10,5.876,mgL-1,FALSE,JB,LM,,,2021
123,0111-10,9/16/2021,shimadzu,doc,sample,0111-10,7.298,mgL-1,FALSE,JB,LM,,,2021
124,0612-10,9/16/2021,shimadzu,doc,sample,0612-10,5.857,mgL-1,FALSE,JB,LM,,,2021
125,0613-10,9/16/2021,shimadzu,doc,sample,0613-10,5.377,mgL-1,FALSE,JB,LM,,,2021
126,0614-10,9/16/2021,shimadzu,doc,sample,0614-10,5.312,mgL-1,FALSE,JB,LM,,,2021
127,0615-10,9/16/2021,shimadzu,doc,sample,0615-10,5.709,mgL-1,FALSE,JB,LM,,,2021
128,0616-10,9/16/2021,shimadzu,doc,sample,0616-10,5.7,mgL-1,FALSE,JB,LM,,,2021
129,0123-10,9/16/2021,shimadzu,doc,sample,0123-10,19.4,mgL-1,FALSE,JB,LM,,,2021
130,0612-10,9/16/2021,shimadzu,doc,sample,0612-10,11.02,mgL-1,FALSE,JB,LM,,,2021
131,0613-10,9/16/2021,shimadzu,doc,sample,0613-10,6.013,mgL-1,FALSE,JB,LM,,,2021
132,0614-10,9/16/2021,shimadzu,doc,sample,0614-10,10.48,mgL-1,FALSE,JB,LM,,,2021
133,0615-10,9/16/2021,shimadzu,doc,sample,0615-10,7.862,mgL-1,FALSE,JB,LM,,,2021
134,0616-10,9/16/2021,shimadzu,doc,sample,0616-10,8.568,mgL-1,FALSE,JB,LM,,,2021
150,0046-02,8/12/2021,lachat,tn,sample,20210728_WHITNEY_046-02_TN,0.538,mgL-1,FALSE,JB,LM,,,2021
151,0047-02,8/12/2021,lachat,tn,sample,047-02,0.499,mgL-1,FALSE,JB,LM,,,2021
152,0048-02,8/12/2021,lachat,tn,sample,048-02,0.639,mgL-1,FALSE,JB,LM,,,2021
153,0049-02,8/12/2021,lachat,tn,sample,049-02,1.32,mgL-1,FALSE,JB,LM,,,2021
154,0050-02,8/12/2021,lachat,tn,sample,050-02,1.28,mgL-1,FALSE,JB,LM,,,2021
155,0051-02,8/12/2021,lachat,tn,sample,051-02,1.27,mgL-1,FALSE,JB,LM,,,2021
156,0052-02,8/12/2021,lachat,tn,sample,052-02,0.63,mgL-1,FALSE,JB,LM,,,2021
157,0053-02,8/12/2021,lachat,tn,sample,053-.2,0.648,mgL-1,FALSE,JB,LM,,,2021
158,0054-02,8/12/2021,lachat,tn,sample,054-02,0.753,mgL-1,FALSE,JB,LM,,,2021
159,0055-02,8/12/2021,lachat,tn,sample,055-02,0.251,mgL-1,FALSE,JB,LM,,,2021
